0.313s [game      ] Created Box2D World: 0x03a83330
0.968s [spawn     ] Spawned Asteroid
0.971s [spawn     ] Spawned Asteroid
0.975s [spawn     ] Spawned Asteroid
0.979s [spawn     ] Spawned Asteroid
0.983s [spawn     ] Spawned Asteroid
0.987s [spawn     ] Spawned Asteroid
0.992s [spawn     ] Spawned Asteroid
0.995s [spawn     ] Spawned Asteroid
0.998s [spawn     ] Spawned Asteroid
1.004s [spawn     ] Spawned Asteroid
1.008s [spawn     ] Spawned Asteroid
1.012s [spawn     ] Spawned Asteroid
1.015s [spawn     ] Spawned Asteroid
1.018s [spawn     ] Spawned Asteroid
1.022s [spawn     ] Spawned Asteroid
1.025s [spawn     ] Spawned Asteroid
1.029s [spawn     ] Spawned Asteroid
1.032s [spawn     ] Spawned Asteroid
1.036s [spawn     ] Spawned Asteroid
1.040s [spawn     ] Spawned Asteroid
1.045s [spawn     ] Spawned Asteroid
1.048s [spawn     ] Spawned Asteroid
1.051s [spawn     ] Spawned Asteroid
1.055s [spawn     ] Spawned Asteroid
1.058s [spawn     ] Spawned Asteroid
1.061s [spawn     ] Spawned Asteroid
1.064s [spawn     ] Spawned Asteroid
1.067s [spawn     ] Spawned Asteroid
1.071s [spawn     ] Spawned Asteroid
1.074s [spawn     ] Spawned Asteroid
1.077s [spawn     ] Spawned Asteroid
1.080s [spawn     ] Spawned Asteroid
1.084s [spawn     ] Spawned Asteroid
1.088s [spawn     ] Spawned Asteroid
1.092s [spawn     ] Spawned Asteroid
1.095s [spawn     ] Spawned Asteroid
1.099s [spawn     ] Spawned Asteroid
1.102s [spawn     ] Spawned Asteroid
1.106s [spawn     ] Spawned Asteroid
1.110s [spawn     ] Spawned Asteroid
1.115s [spawn     ] Spawned Asteroid
1.118s [spawn     ] Spawned Asteroid
1.122s [spawn     ] Spawned Asteroid
1.126s [spawn     ] Spawned Asteroid
1.133s [spawn     ] Spawned Asteroid
1.137s [spawn     ] Spawned Asteroid
1.141s [spawn     ] Spawned Asteroid
1.144s [spawn     ] Spawned Asteroid
1.147s [spawn     ] Spawned Asteroid
1.150s [spawn     ] Spawned Asteroid
1.154s [spawn     ] Spawned Asteroid
1.158s [spawn     ] Spawned Asteroid
1.161s [spawn     ] Spawned Asteroid
1.164s [spawn     ] Spawned Asteroid
1.169s [spawn     ] Spawned Asteroid
1.173s [spawn     ] Spawned Asteroid
1.177s [spawn     ] Spawned Asteroid
1.181s [spawn     ] Spawned Ship
1.185s [spawn     ] Spawned Enemy
1.189s [game      ] Updated userData hash from 12067406089991 to 12114296359996
1.193s [spawn     ] Spawned Emitter
1.196s [spawn     ] Spawned Ship
1.200s [spawn     ] Spawned Enemy
1.204s [game      ] Updated userData hash from 12225947120005 to 12264623890005
1.208s [spawn     ] Spawned Emitter
1.212s [spawn     ] Spawned Ship
1.217s [spawn     ] Spawned Enemy
1.224s [game      ] Updated userData hash from 12385210399989 to 12437126229997
1.227s [spawn     ] Spawned Emitter
1.230s [spawn     ] Spawned Ship
1.234s [spawn     ] Spawned Enemy
1.237s [game      ] Updated userData hash from 12566067619991 to 12597902489997
1.240s [spawn     ] Spawned Emitter
1.244s [spawn     ] Spawned Ship
1.247s [spawn     ] Spawned Enemy
1.250s [game      ] Updated userData hash from 12697615449997 to 12728893069998
1.255s [spawn     ] Spawned Emitter
1.257s [spawn     ] Spawned Ship
1.261s [spawn     ] Spawned Enemy
1.265s [game      ] Updated userData hash from 12837462429998 to 1287244829
1.268s [spawn     ] Spawned Emitter
1.272s [spawn     ] Spawned Ship
1.276s [spawn     ] Spawned Enemy
1.280s [game      ] Updated userData hash from 12981599180002 to 13018993160003
1.283s [spawn     ] Spawned Emitter
1.288s [spawn     ] Spawned Ship
1.292s [spawn     ] Spawned Enemy
1.295s [game      ] Updated userData hash from 13138321219994 to 13178103030004
1.299s [spawn     ] Spawned Emitter
1.303s [spawn     ] Spawned Ship
1.308s [spawn     ] Spawned Enemy
1.311s [game      ] Updated userData hash from 13295536259993 to 13337947299988
1.314s [spawn     ] Spawned Emitter
1.318s [spawn     ] Spawned Ship
1.324s [spawn     ] Spawned Enemy
1.328s [game      ] Updated userData hash from 13444256869989 to 13505223489992
1.331s [spawn     ] Spawned Emitter
1.335s [spawn     ] Spawned Ship
1.338s [spawn     ] Spawned Enemy
1.341s [game      ] Updated userData hash from 13609613320004 to 13643989150005
1.345s [spawn     ] Spawned Emitter
1.348s [spawn     ] Spawned Ship
1.351s [spawn     ] Spawned Enemy
1.356s [game      ] Updated userData hash from 13740366019993 to 13771513880001
1.360s [spawn     ] Spawned Emitter
1.364s [spawn     ] Spawned Ship
1.367s [spawn     ] Spawned Enemy
1.370s [game      ] Updated userData hash from 13900482629997 to 13930124959988
1.373s [spawn     ] Spawned Emitter
1.377s [spawn     ] Spawned Ship
1.380s [spawn     ] Spawned Enemy
1.384s [game      ] Updated userData hash from 14028864829997 to 14066210090004
1.388s [spawn     ] Spawned Emitter
1.392s [spawn     ] Spawned Ship
1.396s [spawn     ] Spawned Enemy
1.402s [game      ] Updated userData hash from 14181587980001 to 14222597059997
1.405s [spawn     ] Spawned Emitter
1.408s [spawn     ] Spawned Ship
1.411s [spawn     ] Spawned Enemy
1.415s [game      ] Updated userData hash from 14343657579993 to 14376199179987
1.419s [spawn     ] Spawned Emitter
1.423s [spawn     ] Spawned Ship
1.427s [spawn     ] Spawned Enemy
1.430s [game      ] Updated userData hash from 14496108589992 to 14531865240006
1.434s [spawn     ] Spawned Emitter
1.438s [spawn     ] Spawned Ship
1.443s [spawn     ] Spawned Enemy
1.447s [game      ] Updated userData hash from 14640499979996 to 1469108936999
1.451s [spawn     ] Spawned Emitter
1.456s [spawn     ] Spawned Ship
1.460s [spawn     ] Spawned Enemy
1.464s [game      ] Updated userData hash from 14825771180003 to 14862901429988
1.467s [spawn     ] Spawned Emitter
1.470s [spawn     ] Spawned Ship
1.474s [spawn     ] Spawned Enemy
1.477s [game      ] Updated userData hash from 14961914439991 to 15002283289996
1.484s [spawn     ] Spawned Emitter
1.710s [game      ] Collision callbacks active
1.717s [important ] beginContact() triggered
1.724s [collision ] -> Asteroid, k: 094914159099972
1.729s [collision ] -> Player, k: Player
1.875s [important ] beginContact() triggered
1.881s [collision ] -> Asteroid, k: 094914159099972
1.888s [collision ] -> Player, k: Player
1.923s [important ] beginContact() triggered
1.928s [collision ] -> Asteroid, k: 094914159099972
1.934s [collision ] -> Player, k: Player
1.975s [important ] beginContact() triggered
1.983s [collision ] -> Asteroid, k: 094914159099972
1.990s [collision ] -> Player, k: Player
2.490s [important ] beginContact() triggered
2.496s [collision ] -> Enemy, k: 14066210090004
2.500s [collision ] -> Asteroid, k: 088059772999986
2.650s [important ] beginContact() triggered
2.655s [collision ] -> Asteroid, k: 069737713299946
2.659s [collision ] -> Player, k: Player
2.722s [important ] beginContact() triggered
2.728s [collision ] -> Enemy, k: 14066210090004
2.735s [collision ] -> Asteroid, k: 10300345489995
3.941s [important ] beginContact() triggered
3.949s [collision ] -> Enemy, k: 14066210090004
3.957s [collision ] -> Asteroid, k: 099053536599968
